Week,Match Title,Match Date,Team,Player,Position,Injury,Practice Status,Game Status
Week 1,Lions vs Chiefs,"THURSDAY, SEPTEMBER 7TH",Lions,Isaiah Buggs,DT,,Full Participation in Practice,
Week 1,Lions vs Chiefs,"THURSDAY, SEPTEMBER 7TH",Lions,Ifeatu Melifonwu,S,,Full Participation in Practice,
Week 1,Lions vs Chiefs,"THURSDAY, SEPTEMBER 7TH",Lions,Emmanuel Moseley,CB,Knee,Limited Participation in Practice,Out
Week 1,Lions vs Chiefs,"THURSDAY, SEPTEMBER 7TH",Lions,Frank Ragnow,C,,Full Participation in Practice,
Week 1,Lions vs Chiefs,"THURSDAY, SEPTEMBER 7TH",Chiefs,Nick Allegretti,G,,Full Participation in Practice,
Week 1,Lions vs Chiefs,"THURSDAY, SEPTEMBER 7TH",Chiefs,Richie James,WR,,Full Participation in Practice,
Week 1,Lions vs Chiefs,"THURSDAY, SEPTEMBER 7TH",Chiefs,Nic Jones,CB,,Full Participation in Practice,
Week 1,Lions vs Chiefs,"THURSDAY, SEPTEMBER 7TH",Chiefs,Travis Kelce,TE,Knee,Did Not Participate In Practice,Questionable
Week 1,Lions vs Chiefs,"THURSDAY, SEPTEMBER 7TH",Chiefs,L'Jarius Sneed,CB,,Full Participation in Practice,
Week 1,Lions vs Chiefs,"THURSDAY, SEPTEMBER 7TH",Chiefs,BJ Thompson,DE,,Full Participation in Practice,
Week 1,Lions vs Chiefs,"THURSDAY, SEPTEMBER 7TH",Chiefs,Kadarius Toney,WR,,Full Participation in Practice,
Week 1,Lions vs Chiefs,"THURSDAY, SEPTEMBER 7TH",Chiefs,Tershawn Wharton,DT,,Full Participation in Practice,
Week 1,Texans vs Ravens,"SUNDAY, SEPTEMBER 10TH",Texans,Blake Cashman,LB,Hamstring,Did Not Participate In Practice,Out
Week 1,Texans vs Ravens,"SUNDAY, SEPTEMBER 10TH",Texans,Christian Harris,LB,,Full Participation in Practice,
Week 1,Texans vs Ravens,"SUNDAY, SEPTEMBER 10TH",Texans,John Metchie III,WR,Hamstring,Did Not Participate In Practice,Out
Week 1,Texans vs Ravens,"SUNDAY, SEPTEMBER 10TH",Texans,Dare Ogunbowale,RB,Hamstring,Limited Participation in Practice,Questionable
Week 1,Texans vs Ravens,"SUNDAY, SEPTEMBER 10TH",Texans,Jimmie Ward,S,Hip,Did Not Participate In Practice,Out
Week 1,Texans vs Ravens,"SUNDAY, SEPTEMBER 10TH",Ravens,Mark Andrews,TE,Quadricep,Limited Participation in Practice,Questionable
Week 1,Texans vs Ravens,"SUNDAY, SEPTEMBER 10TH",Ravens,Odell Beckham Jr.,WR,,Full Participation in Practice,
Week 1,Texans vs Ravens,"SUNDAY, SEPTEMBER 10TH",Ravens,Marlon Humphrey,CB,Foot,Did Not Participate In Practice,Out
Week 1,Texans vs Ravens,"SUNDAY, SEPTEMBER 10TH",Ravens,Ronnie Stanley,T,,Full Participation in Practice,
Week 1,Bills vs Jets,"MONDAY, SEPTEMBER 11TH",Bills,Micah Hyde,S,,Full Participation in Practice,
Week 1,Bills vs Jets,"MONDAY, SEPTEMBER 11TH",Jets,Mekhi Becton,T,"Knee, Illness",Full Participation in Practice,Questionable
Week 1,Bills vs Jets,"MONDAY, SEPTEMBER 11TH",Jets,Duane Brown,T,Shoulder,Full Participation in Practice,Questionable
Week 1,Bills vs Jets,"MONDAY, SEPTEMBER 11TH",Jets,Michael Carter II,CB,,Full Participation in Practice,
Week 1,Bills vs Jets,"MONDAY, SEPTEMBER 11TH",Jets,Breece Hall,RB,Knee,Full Participation in Practice,Questionable
Week 2,Vikings vs Eagles,"THURSDAY, SEPTEMBER 14TH",Vikings,Garrett Bradbury,C,Back,Did Not Participate In Practice,Out
Week 2,Vikings vs Eagles,"THURSDAY, SEPTEMBER 14TH",Vikings,Christian Darrisaw,T,Ankle,Limited Participation in Practice,Questionable
Week 2,Vikings vs Eagles,"THURSDAY, SEPTEMBER 14TH",Vikings,Marcus Davenport,DE,Ankle,Limited Participation in Practice,Questionable
Week 2,Vikings vs Eagles,"THURSDAY, SEPTEMBER 14TH",Eagles,Reed Blankenship,S,Ribs,Did Not Participate In Practice,Out
Week 2,Vikings vs Eagles,"THURSDAY, SEPTEMBER 14TH",Eagles,James Bradberry,CB,Concussion,Did Not Participate In Practice,Out
Week 2,Vikings vs Eagles,"THURSDAY, SEPTEMBER 14TH",Eagles,Fletcher Cox,DT,Ribs,Limited Participation in Practice,Questionable
Week 2,Vikings vs Eagles,"THURSDAY, SEPTEMBER 14TH",Eagles,Nakobe Dean,LB,,Did Not Participate In Practice,
Week 2,Vikings vs Eagles,"THURSDAY, SEPTEMBER 14TH",Eagles,Kenneth Gainwell,RB,Ribs,Did Not Participate In Practice,Out
Week 2,Chargers vs Titans,"SUNDAY, SEPTEMBER 17TH",Chargers,Joey Bosa,DE,Hamstring,Limited Participation in Practice,Questionable
Week 2,Chargers vs Titans,"SUNDAY, SEPTEMBER 17TH",Chargers,Austin Ekeler,RB,Ankle,Did Not Participate In Practice,Doubtful
Week 2,Chargers vs Titans,"SUNDAY, SEPTEMBER 17TH",Chargers,Daiyan Henley,LB,Hamstring,Limited Participation in Practice,Doubtful
Week 2,Chargers vs Titans,"SUNDAY, SEPTEMBER 17TH",Chargers,Eric Kendricks,LB,"Hamstring, Not injury related - personal matter",Did Not Participate In Practice,Doubtful
Week 2,Chargers vs Titans,"SUNDAY, SEPTEMBER 17TH",Chargers,Chris Rumph II,DE,Hamstring,Limited Participation in Practice,Doubtful
Week 2,Chargers vs Titans,"SUNDAY, SEPTEMBER 17TH",Titans,Tre Avery,CB,,Full Participation in Practice,
Week 2,Chargers vs Titans,"SUNDAY, SEPTEMBER 17TH",Titans,Treylon Burks,WR,,Full Participation in Practice,
Week 2,Chargers vs Titans,"SUNDAY, SEPTEMBER 17TH",Titans,Kristian Fulton,CB,Hamstring,Limited Participation in Practice,Out
Week 2,Chargers vs Titans,"SUNDAY, SEPTEMBER 17TH",Titans,Amani Hooker,S,Concussion,Did Not Participate In Practice,Out
Week 2,Chargers vs Titans,"SUNDAY, SEPTEMBER 17TH",Titans,DeAndre Hopkins,WR,Ankle,Did Not Participate In Practice,Questionable
Week 2,Chargers vs Titans,"SUNDAY, SEPTEMBER 17TH",Titans,Dillon Radunz,T,,Full Participation in Practice,
Week 2,Chargers vs Titans,"SUNDAY, SEPTEMBER 17TH",Titans,Peter Skoronski,T,Illness,Did Not Participate In Practice,Questionable
Week 2,Chargers vs Titans,"SUNDAY, SEPTEMBER 17TH",Titans,Tyjae Spears,RB,,Full Participation in Practice,
Week 2,Chargers vs Titans,"SUNDAY, SEPTEMBER 17TH",Titans,Teair Tart,DT,,Full Participation in Practice,
Week 2,Saints vs Panthers,"MONDAY, SEPTEMBER 18TH",Saints,Jimmy Graham,TE,,Full Participation in Practice,
Week 2,Saints vs Panthers,"MONDAY, SEPTEMBER 18TH",Saints,J.T. Gray,S,Shoulder,Limited Participation in Practice,Questionable
Week 2,Saints vs Panthers,"MONDAY, SEPTEMBER 18TH",Saints,Juwan Johnson,TE,,Full Participation in Practice,
Week 2,Saints vs Panthers,"MONDAY, SEPTEMBER 18TH",Saints,Kendre Miller,RB,Hamstring,Limited Participation in Practice,Questionable
Week 2,Saints vs Panthers,"MONDAY, SEPTEMBER 18TH",Saints,Ryan Ramczyk,T,,Full Participation in Practice,
Week 2,Saints vs Panthers,"MONDAY, SEPTEMBER 18TH",Panthers,DJ Chark,WR,Hamstring,Full Participation in Practice,Questionable
Week 2,Saints vs Panthers,"MONDAY, SEPTEMBER 18TH",Panthers,Jaycee Horn,CB,,Did Not Participate In Practice,
Week 2,Saints vs Panthers,"MONDAY, SEPTEMBER 18TH",Panthers,Taylor Moton,T,,Full Participation in Practice,
Week 3,Giants vs 49ers,"THURSDAY, SEPTEMBER 21ST",Giants,Saquon Barkley,RB,Ankle,Did Not Participate In Practice,Out
Week 3,Giants vs 49ers,"THURSDAY, SEPTEMBER 21ST",Giants,Ben Bredeson,G,Concussion,Did Not Participate In Practice,Out
Week 3,Giants vs 49ers,"THURSDAY, SEPTEMBER 21ST",Giants,Micah McFadden,LB,Neck,Limited Participation in Practice,Questionable
Week 3,Giants vs 49ers,"THURSDAY, SEPTEMBER 21ST",Giants,Azeez Ojulari,DE,Hamstring,Limited Participation in Practice,Out
Week 3,Giants vs 49ers,"THURSDAY, SEPTEMBER 21ST",Giants,Wan'Dale Robinson,WR,Knee,Limited Participation in Practice,Questionable
Week 3,Giants vs 49ers,"THURSDAY, SEPTEMBER 21ST",Giants,Andrew Thomas,T,Hamstring,Limited Participation in Practice,Out
Week 3,Giants vs 49ers,"THURSDAY, SEPTEMBER 21ST",49ers,Brandon Aiyuk,WR,Shoulder,Limited Participation in Practice,Questionable
Week 3,Giants vs 49ers,"THURSDAY, SEPTEMBER 21ST",49ers,Ambry Thomas,CB,Knee,Limited Participation in Practice,Questionable
Week 3,Patriots vs Jets,"SUNDAY, SEPTEMBER 24TH",Patriots,Christian Barmore,DT,Knee,Limited Participation in Practice,Questionable
Week 3,Patriots vs Jets,"SUNDAY, SEPTEMBER 24TH",Patriots,Trent Brown,T,,Limited Participation in Practice,
